,Accuracy,Precision,Recall,F1,Cohen_Kappa
0,0.794987242983641,0.7931751836122636,0.794987242983641,0.7915654279109182,0.6818409065057416
1,0.7922857571664416,0.7906461355313664,0.7922857571664416,0.7898270139291808,0.6786006527393031
2,0.8021912051628396,0.8003345786055241,0.8021912051628396,0.7994660705368599,0.6939120635467577
3,0.789584271349242,0.7879223787250544,0.789584271349242,0.7865700290871914,0.6742087687696066
4,0.8104172921044731,0.8094768172442434,0.8104172921044731,0.8082101147221123,0.7069599036762103
5,0.7981086760732513,0.7963943693039197,0.7981086760732513,0.7954733554369882,0.6879224161527392
6,0.801231046389431,0.7993553352109108,0.801231046389431,0.799154297643038,0.6930133839707373
7,0.801981684431767,0.7994609123948753,0.801981684431767,0.799336084066538,0.6945934066086863
8,0.7936936936936937,0.7904175192705132,0.7936936936936937,0.7904191674390975,0.6815099345161004
9,0.8031531531531532,0.8006131469415038,0.8031531531531532,0.8001267998470835,0.695273653979246
