,Accuracy,Precision,Recall,F1,Cohen_Kappa
0,0.7940867477112412,0.7998101760122338,0.7940867477112412,0.7931662411337174,0.6842404350263767
1,0.7940867477112412,0.8028963640374013,0.7940867477112412,0.7939295084902831,0.6850204298674129
2,0.7985892240732403,0.8064341191184291,0.7985892240732403,0.7978516785668605,0.6916315523474792
3,0.8009905447996398,0.8083602425626774,0.8009905447996398,0.8002249564870886,0.6951203243109914
4,0.816571600120084,0.8228084252116353,0.816571600120084,0.8161191506673996,0.7191933843448637
5,0.796757730411288,0.8042500781261435,0.796757730411288,0.7967347290546611,0.6902014711771409
6,0.8009307911724967,0.8084755649991574,0.8009307911724967,0.8011387600408435,0.6961814043943538
7,0.7980783666116199,0.8055999191420941,0.7980783666116199,0.7983375683378406,0.6926001729308344
8,0.7917417417417417,0.7992283153334186,0.7917417417417417,0.7909831062372349,0.6817848012284057
9,0.8027027027027027,0.8105871664236318,0.8027027027027027,0.8020128707938949,0.6979049448818506
