,Accuracy,Precision,Recall,F1,Cohen_Kappa
0,0.714993246285457,0.752984240574613,0.714993246285457,0.7215486754216569,0.5803623764082428
1,0.7208464655560558,0.7581841149277322,0.7208464655560558,0.7275961150491044,0.589931785334244
2,0.7244484466456551,0.7609959171210617,0.7244484466456551,0.7306575267786889,0.5943117471983153
3,0.7071889539246585,0.7463178689187029,0.7071889539246585,0.7141976286690888,0.5702392987312097
4,0.7302611828279796,0.7630461129441767,0.7302611828279796,0.7351301628705786,0.6018231579494935
5,0.7158510957670369,0.7560869990069025,0.7158510957670369,0.723171385079219,0.5829849794231539
6,0.728869539108242,0.7670360417129256,0.728869539108242,0.7363986456851732,0.6012311754581157
7,0.7224140519441525,0.7594935286032136,0.7224140519441525,0.7293827373648196,0.591401820914591
8,0.715015015015015,0.7580181431064409,0.715015015015015,0.7219468851733706,0.5817348954694597
9,0.7271771771771772,0.7660202803518781,0.7271771771771772,0.7335407080189598,0.598798585897647
