,Accuracy,Precision,Recall,F1,Cohen_Kappa
0,0.7618190004502476,0.7863840378532904,0.7618190004502476,0.7650345964338343,0.6403095964974768
1,0.7508629746360498,0.7811520029990768,0.7508629746360498,0.7563866324099466,0.6257041663337606
2,0.765420981539847,0.7919838618191419,0.765420981539847,0.768164582147321,0.6472230047205993
3,0.759867927360048,0.7838459381093367,0.759867927360048,0.7644496783375044,0.6373997924422645
4,0.7704893425397779,0.7954310389528371,0.7704893425397779,0.7743564523331157,0.6544155176019386
5,0.7595316721705193,0.785674914333844,0.7595316721705193,0.7652446064289193,0.6392515838416981
6,0.765350547965771,0.7896700491433324,0.765350547965771,0.7696838775516642,0.6472892769553207
7,0.7659510583996397,0.7924274614785434,0.7659510583996397,0.7704567923457163,0.6479280779834382
8,0.7585585585585586,0.7845044203161761,0.7585585585585586,0.763538122557352,0.6367605162865353
9,0.765015015015015,0.7934146340130274,0.765015015015015,0.7688109928859447,0.6462382303419524
