,Accuracy,Precision,Recall,F1,Cohen_Kappa
0,0.7582170193606483,0.79845806894115,0.7582170193606483,0.7596835287096565,0.6286544861273347
1,0.7585171844514483,0.793292928461613,0.7585171844514483,0.7582009513209218,0.6290605235456882
2,0.7673720546300465,0.7978607662583218,0.7673720546300465,0.7653646793997303,0.6408958894155519
3,0.7580669368152484,0.7921931258577269,0.7580669368152484,0.7576663309520771,0.6274555119020107
4,0.779495646952867,0.8065163361992417,0.779495646952867,0.7796717519304283,0.6611245496208233
5,0.7664365055538878,0.7987206965313527,0.7664365055538878,0.7672319794287802,0.6410508514802636
6,0.7597958264524846,0.8050204856544911,0.7597958264524846,0.7625863400119164,0.6335030156323468
7,0.7652004203573037,0.80148978229944,0.7652004203573037,0.7667743158995503,0.641380942739046
8,0.762012012012012,0.7979149225091715,0.762012012012012,0.7618589222129719,0.635448190377954
9,0.7744744744744745,0.8042332568976311,0.7744744744744745,0.7730444908241619,0.6514691448741681
